Post_ID,Neighborhood,Topic,Date,Sentiment,Text,Sentiment_Score
104,Chelsea,Parks,2025-01-12,Neutral,Mixed feelings about transport.,0.05
105,Uptown,Housing,2025-03-23,Negative,Buses keep getting delayed.,-0.39
106,Chinatown,Infrastructure,2025-02-14,Neutral,Parks are okay but could be better.,-0.07
107,Uptown,Parks,2025-01-25,Positive,Feeling safer at night recently.,0.67
108,Harlem,Safety,2025-01-17,Positive,Love how clean my area looks now!,0.92
109,Chelsea,Sanitation,2025-01-04,Negative,Water leakage not fixed for weeks.,-0.91
110,Uptown,Safety,2025-01-09,Neutral,Parks are okay but could be better.,-0.01
111,Chinatown,Infrastructure,2025-03-19,Negative,Water leakage not fixed for weeks.,-0.4
112,Downtown,Transport,2025-02-11,Neutral,Parks are okay but could be better.,0.02
113,Brooklyn Heights,Parks,2025-01-31,Negative,Roads full of potholes again.,-0.92
114,Downtown,Transport,2025-01-24,Neutral,Parks are okay but could be better.,-0.02
115,Brooklyn Heights,Infrastructure,2025-02-03,Negative,Roads full of potholes again.,-0.59
116,SoHo,Parks,2025-03-28,Neutral,Average service overall.,0.1
117,SoHo,Housing,2025-02-13,Positive,Feeling safer at night recently.,0.34
118,SoHo,Housing,2025-04-01,Positive,Great improvement in road maintenance.,0.99
119,Uptown,Safety,2025-02-22,Neutral,Parks are okay but could be better.,-0.02
120,SoHo,Safety,2025-03-18,Positive,Love how clean my area looks now!,0.36
121,Brooklyn Heights,Infrastructure,2025-02-26,Positive,Feeling safer at night recently.,0.53
122,Downtown,Housing,2025-01-26,Neutral,Average service overall.,0.02
123,Bronx Park,Parks,2025-01-03,Negative,Water leakage not fixed for weeks.,-0.83
124,Queens Village,Housing,2025-01-14,Negative,Too much noise and trash!,-0.77
125,Brooklyn Heights,Safety,2025-01-08,Positive,Great improvement in road maintenance.,0.88
126,Downtown,Infrastructure,2025-02-26,Negative,Roads full of potholes again.,-0.2
127,Downtown,Housing,2025-02-18,Positive,Great improvement in road maintenance.,0.45
128,Queens Village,Infrastructure,2025-01-12,Neutral,Average service overall.,-0.07
129,Chelsea,Housing,2025-02-21,Positive,Feeling safer at night recently.,0.83
130,Bronx Park,Transport,2025-03-17,Negative,Roads full of potholes again.,-0.52
131,Chelsea,Housing,2025-01-26,Positive,Buses are on time lately!,0.28
132,Chelsea,Safety,2025-03-22,Negative,Roads full of potholes again.,-0.24
133,Downtown,Parks,2025-03-03,Neutral,Average service overall.,-0.08
134,Chinatown,Safety,2025-01-14,Negative,Water leakage not fixed for weeks.,-0.5
135,Midtown,Safety,2025-02-04,Negative,Too much noise and trash!,-0.66
136,Brooklyn Heights,Safety,2025-02-14,Negative,Too much noise and trash!,-0.55
137,Uptown,Infrastructure,2025-02-14,Negative,Too much noise and trash!,-0.83
138,Chelsea,Sanitation,2025-02-28,Neutral,Average service overall.,0.04
139,SoHo,Sanitation,2025-01-13,Neutral,Average service overall.,0.09
140,Uptown,Transport,2025-01-23,Positive,Feeling safer at night recently.,0.57
141,Harlem,Safety,2025-03-28,Positive,Feeling safer at night recently.,0.62
142,Chinatown,Sanitation,2025-01-08,Neutral,Parks are okay but could be better.,-0.05
143,Uptown,Transport,2025-02-07,Positive,Feeling safer at night recently.,0.91
144,Queens Village,Infrastructure,2025-01-05,Neutral,Parks are okay but could be better.,0.09
145,Midtown,Safety,2025-01-03,Neutral,Mixed feelings about transport.,0.06
146,Bronx Park,Parks,2025-01-18,Neutral,Average service overall.,0.01
147,Queens Village,Infrastructure,2025-02-01,Negative,Roads full of potholes again.,-0.23
148,Chelsea,Transport,2025-03-25,Positive,Feeling safer at night recently.,0.32
149,Chinatown,Infrastructure,2025-03-27,Negative,Water leakage not fixed for weeks.,-0.62
150,Chinatown,Parks,2025-03-11,Negative,Water leakage not fixed for weeks.,-0.57
151,Chelsea,Infrastructure,2025-02-27,Negative,Roads full of potholes again.,-0.61
152,Midtown,Transport,2025-02-13,Positive,Buses are on time lately!,0.84
153,Downtown,Parks,2025-01-19,Negative,Too much noise and trash!,-0.46
154,Uptown,Parks,2025-01-08,Negative,Buses keep getting delayed.,-0.9
155,SoHo,Infrastructure,2025-01-21,Negative,Buses keep getting delayed.,-0.72
156,Chelsea,Parks,2025-01-11,Negative,Too much noise and trash!,-0.73
157,SoHo,Infrastructure,2025-01-02,Positive,Feeling safer at night recently.,0.65
158,Uptown,Safety,2025-03-05,Positive,Great improvement in road maintenance.,0.43
159,Midtown,Parks,2025-01-02,Negative,Too much noise and trash!,-0.91
160,Downtown,Infrastructure,2025-02-20,Neutral,Average service overall.,0.03
161,Bronx Park,Safety,2025-01-13,Negative,Water leakage not fixed for weeks.,-0.32
162,Midtown,Parks,2025-02-15,Negative,Water leakage not fixed for weeks.,-0.25
163,SoHo,Safety,2025-01-06,Neutral,Average service overall.,0.09
164,Chinatown,Housing,2025-02-23,Neutral,Average service overall.,0.06
165,Chinatown,Parks,2025-01-27,Neutral,Average service overall.,-0.07
166,Harlem,Housing,2025-03-28,Negative,Too much noise and trash!,-0.32
167,Brooklyn Heights,Transport,2025-03-28,Negative,Water leakage not fixed for weeks.,-0.68
168,Queens Village,Transport,2025-01-31,Negative,Buses keep getting delayed.,-0.42
169,Queens Village,Infrastructure,2025-02-05,Negative,Water leakage not fixed for weeks.,-0.57
170,Chelsea,Sanitation,2025-03-03,Negative,Buses keep getting delayed.,-0.34
171,SoHo,Housing,2025-02-24,Neutral,Mixed feelings about transport.,-0.01
172,Queens Village,Housing,2025-03-25,Neutral,Parks are okay but could be better.,-0.09
173,Queens Village,Transport,2025-01-27,Neutral,Mixed feelings about transport.,0.01
174,Midtown,Housing,2025-03-14,Neutral,Average service overall.,-0.07
175,Bronx Park,Sanitation,2025-01-06,Positive,Great improvement in road maintenance.,0.97
176,SoHo,Safety,2025-02-19,Positive,Buses are on time lately!,0.62
177,Harlem,Safety,2025-02-24,Positive,Great improvement in road maintenance.,0.64
178,Bronx Park,Sanitation,2025-03-17,Negative,Too much noise and trash!,-0.27
179,Harlem,Housing,2025-01-09,Positive,Love how clean my area looks now!,0.7
180,SoHo,Housing,2025-02-03,Positive,Great improvement in road maintenance.,0.44
181,Downtown,Housing,2025-03-27,Positive,Buses are on time lately!,0.44
182,Downtown,Infrastructure,2025-01-07,Negative,Water leakage not fixed for weeks.,-0.6
183,Queens Village,Parks,2025-03-02,Positive,Love how clean my area looks now!,0.89
184,Chelsea,Sanitation,2025-02-05,Neutral,Parks are okay but could be better.,0.06
185,Chinatown,Sanitation,2025-01-14,Positive,Buses are on time lately!,0.97
186,Midtown,Sanitation,2025-03-26,Negative,Buses keep getting delayed.,-0.94
187,Queens Village,Sanitation,2025-02-06,Negative,Buses keep getting delayed.,-0.79
188,Brooklyn Heights,Sanitation,2025-03-18,Negative,Roads full of potholes again.,-0.94
189,Downtown,Housing,2025-02-02,Neutral,Parks are okay but could be better.,0.05
190,Queens Village,Infrastructure,2025-02-14,Negative,Roads full of potholes again.,-0.89
191,Chinatown,Transport,2025-03-13,Neutral,Parks are okay but could be better.,-0.08
192,Harlem,Housing,2025-03-06,Positive,Great improvement in road maintenance.,0.65
193,Harlem,Housing,2025-01-15,Neutral,Parks are okay but could be better.,-0.02
194,Uptown,Parks,2025-03-28,Positive,Great improvement in road maintenance.,0.77
195,Midtown,Transport,2025-02-09,Negative,Buses keep getting delayed.,-0.61
196,Chelsea,Sanitation,2025-02-02,Positive,Great improvement in road maintenance.,0.54
197,Harlem,Transport,2025-02-14,Neutral,Parks are okay but could be better.,-0.01
198,Uptown,Infrastructure,2025-02-07,Positive,Love how clean my area looks now!,0.9
199,Downtown,Safety,2025-01-04,Negative,Buses keep getting delayed.,-0.68
200,Harlem,Housing,2025-03-12,Negative,Buses keep getting delayed.,-0.73
201,Chelsea,Transport,2025-02-25,Neutral,Parks are okay but could be better.,-0.03
202,Queens Village,Parks,2025-01-24,Negative,Water leakage not fixed for weeks.,-0.84
203,Chinatown,Infrastructure,2025-03-01,Neutral,Parks are okay but could be better.,0.07
204,Brooklyn Heights,Safety,2025-02-28,Positive,Great improvement in road maintenance.,0.32
205,Harlem,Infrastructure,2025-03-15,Neutral,Parks are okay but could be better.,0.08
206,Brooklyn Heights,Sanitation,2025-01-18,Negative,Water leakage not fixed for weeks.,-0.77
207,Brooklyn Heights,Safety,2025-02-22,Negative,Too much noise and trash!,-0.28
208,Brooklyn Heights,Parks,2025-02-03,Negative,Water leakage not fixed for weeks.,-0.37
209,Bronx Park,Safety,2025-01-11,Neutral,Average service overall.,0.02
210,Brooklyn Heights,Parks,2025-03-03,Positive,Buses are on time lately!,0.74
211,Bronx Park,Sanitation,2025-02-10,Neutral,Mixed feelings about transport.,-0.03
212,Chinatown,Parks,2025-03-12,Negative,Water leakage not fixed for weeks.,-0.54
213,Brooklyn Heights,Infrastructure,2025-02-14,Negative,Roads full of potholes again.,-0.77
214,Uptown,Transport,2025-03-17,Negative,Buses keep getting delayed.,-0.68
215,Brooklyn Heights,Infrastructure,2025-02-27,Negative,Buses keep getting delayed.,-0.39
216,SoHo,Housing,2025-03-02,Positive,Great improvement in road maintenance.,0.4
217,Midtown,Infrastructure,2025-03-15,Positive,Great improvement in road maintenance.,0.87
218,Uptown,Safety,2025-01-03,Positive,Great improvement in road maintenance.,0.5
219,Chelsea,Sanitation,2025-01-02,Neutral,Mixed feelings about transport.,0.01
220,Harlem,Housing,2025-02-11,Positive,Great improvement in road maintenance.,0.95
221,Chinatown,Housing,2025-03-11,Negative,Roads full of potholes again.,-0.45
222,Chinatown,Housing,2025-01-08,Neutral,Parks are okay but could be better.,0.03
223,SoHo,Transport,2025-02-08,Positive,Love how clean my area looks now!,0.77
224,SoHo,Parks,2025-03-27,Positive,Buses are on time lately!,0.93
225,SoHo,Safety,2025-02-04,Positive,Feeling safer at night recently.,0.4
226,SoHo,Sanitation,2025-01-12,Neutral,Average service overall.,0.02
227,SoHo,Transport,2025-01-27,Positive,Buses are on time lately!,0.52
228,Downtown,Infrastructure,2025-01-16,Neutral,Average service overall.,-0.1
229,Queens Village,Sanitation,2025-01-07,Negative,Water leakage not fixed for weeks.,-0.9
230,Chinatown,Housing,2025-01-22,Neutral,Average service overall.,-0.04
231,SoHo,Sanitation,2025-01-20,Positive,Love how clean my area looks now!,0.65
232,Harlem,Sanitation,2025-03-12,Negative,Roads full of potholes again.,-0.29
233,Downtown,Infrastructure,2025-03-25,Negative,Roads full of potholes again.,-0.37
234,Uptown,Parks,2025-01-30,Neutral,Average service overall.,0.01
235,Uptown,Safety,2025-03-06,Positive,Feeling safer at night recently.,0.26
236,Bronx Park,Housing,2025-03-19,Neutral,Average service overall.,-0.04
237,Queens Village,Parks,2025-03-30,Negative,Buses keep getting delayed.,-0.71
238,Uptown,Transport,2025-01-18,Positive,Buses are on time lately!,0.7
239,SoHo,Housing,2025-02-21,Neutral,Parks are okay but could be better.,-0.09
240,Chinatown,Safety,2025-01-02,Negative,Buses keep getting delayed.,-0.58
241,Bronx Park,Transport,2025-01-08,Negative,Roads full of potholes again.,-0.28
242,Midtown,Infrastructure,2025-03-29,Positive,Buses are on time lately!,0.76
243,Downtown,Parks,2025-02-06,Positive,Great improvement in road maintenance.,0.84
244,Midtown,Housing,2025-02-04,Positive,Feeling safer at night recently.,0.75
245,Midtown,Sanitation,2025-01-21,Negative,Buses keep getting delayed.,-0.83
246,SoHo,Safety,2025-03-16,Positive,Love how clean my area looks now!,0.29
247,Midtown,Housing,2025-01-14,Positive,Great improvement in road maintenance.,0.86
248,Midtown,Sanitation,2025-03-05,Positive,Feeling safer at night recently.,0.76
249,Uptown,Housing,2025-01-20,Positive,Buses are on time lately!,0.66
250,Chelsea,Transport,2025-01-16,Positive,Buses are on time lately!,0.35
251,Bronx Park,Sanitation,2025-01-11,Positive,Love how clean my area looks now!,0.68
252,Midtown,Sanitation,2025-03-20,Neutral,Average service overall.,-0.09
253,Queens Village,Housing,2025-02-03,Positive,Love how clean my area looks now!,0.3
254,Harlem,Infrastructure,2025-03-30,Positive,Love how clean my area looks now!,0.45
255,Bronx Park,Infrastructure,2025-01-22,Negative,Water leakage not fixed for weeks.,-0.65
256,Queens Village,Parks,2025-03-22,Negative,Roads full of potholes again.,-0.9
257,Harlem,Transport,2025-03-19,Positive,Feeling safer at night recently.,0.3
258,Midtown,Infrastructure,2025-01-09,Positive,Love how clean my area looks now!,0.78
259,Chelsea,Housing,2025-02-08,Negative,Buses keep getting delayed.,-0.54
260,Brooklyn Heights,Infrastructure,2025-03-07,Neutral,Average service overall.,0.01
261,Chinatown,Parks,2025-02-17,Positive,Buses are on time lately!,0.56
262,Queens Village,Safety,2025-03-22,Positive,Love how clean my area looks now!,0.98
263,Midtown,Parks,2025-02-06,Positive,Feeling safer at night recently.,0.24
264,Bronx Park,Sanitation,2025-01-10,Negative,Water leakage not fixed for weeks.,-0.86
265,Uptown,Sanitation,2025-02-26,Negative,Water leakage not fixed for weeks.,-0.48
266,Midtown,Infrastructure,2025-04-01,Negative,Roads full of potholes again.,-0.89
267,Brooklyn Heights,Infrastructure,2025-03-31,Negative,Buses keep getting delayed.,-0.53
268,Midtown,Parks,2025-02-28,Neutral,Average service overall.,0.01
269,Midtown,Parks,2025-02-12,Neutral,Parks are okay but could be better.,0.09
270,Chinatown,Housing,2025-02-13,Neutral,Mixed feelings about transport.,0.08
271,Uptown,Transport,2025-01-17,Positive,Feeling safer at night recently.,0.96
272,Queens Village,Housing,2025-02-18,Negative,Too much noise and trash!,-0.91
273,SoHo,Sanitation,2025-02-02,Negative,Buses keep getting delayed.,-0.31
274,SoHo,Housing,2025-02-28,Positive,Great improvement in road maintenance.,0.3
275,Bronx Park,Parks,2025-03-08,Negative,Water leakage not fixed for weeks.,-0.49
276,Chelsea,Housing,2025-01-23,Neutral,Mixed feelings about transport.,0.04
277,Midtown,Safety,2025-01-25,Neutral,Parks are okay but could be better.,-0.07
278,Bronx Park,Transport,2025-02-13,Positive,Feeling safer at night recently.,0.71
279,Chelsea,Parks,2025-01-03,Neutral,Parks are okay but could be better.,-0.09
280,Queens Village,Infrastructure,2025-02-24,Negative,Buses keep getting delayed.,-0.77
281,Queens Village,Housing,2025-01-30,Negative,Buses keep getting delayed.,-0.26
282,Uptown,Parks,2025-01-05,Positive,Buses are on time lately!,0.34
283,SoHo,Infrastructure,2025-01-04,Positive,Love how clean my area looks now!,0.25
284,SoHo,Infrastructure,2025-02-02,Positive,Love how clean my area looks now!,0.55
285,Bronx Park,Sanitation,2025-01-16,Neutral,Parks are okay but could be better.,0.07
286,Chinatown,Sanitation,2025-03-23,Neutral,Mixed feelings about transport.,-0.08
287,SoHo,Parks,2025-01-22,Negative,Water leakage not fixed for weeks.,-0.72
288,Chinatown,Parks,2025-03-28,Negative,Water leakage not fixed for weeks.,-0.28
289,Chinatown,Safety,2025-01-31,Neutral,Mixed feelings about transport.,-0.08
290,Queens Village,Transport,2025-02-05,Positive,Love how clean my area looks now!,0.45
291,Uptown,Transport,2025-01-06,Positive,Great improvement in road maintenance.,0.82
292,Bronx Park,Parks,2025-03-16,Negative,Buses keep getting delayed.,-0.57
293,Harlem,Sanitation,2025-02-07,Negative,Buses keep getting delayed.,-0.33
294,Bronx Park,Housing,2025-03-01,Negative,Too much noise and trash!,-0.91
295,Chinatown,Safety,2025-02-19,Neutral,Average service overall.,0.08
296,Chelsea,Transport,2025-02-04,Positive,Love how clean my area looks now!,0.95
297,Chelsea,Parks,2025-03-24,Negative,Roads full of potholes again.,-0.88
298,Uptown,Sanitation,2025-01-09,Negative,Buses keep getting delayed.,-0.97
299,Queens Village,Sanitation,2025-01-25,Negative,Too much noise and trash!,-0.21
300,Queens Village,Sanitation,2025-02-07,Positive,Buses are on time lately!,0.59
301,Chinatown,Housing,2025-03-17,Neutral,Parks are okay but could be better.,0.01
302,Chinatown,Infrastructure,2025-01-16,Negative,Too much noise and trash!,-0.51
303,Brooklyn Heights,Housing,2025-03-16,Negative,Too much noise and trash!,-0.37
304,Brooklyn Heights,Sanitation,2025-02-08,Negative,Water leakage not fixed for weeks.,-0.35
305,Chinatown,Parks,2025-02-07,Positive,Feeling safer at night recently.,0.36
306,SoHo,Safety,2025-03-15,Positive,Love how clean my area looks now!,0.39
307,Bronx Park,Housing,2025-01-27,Positive,Great improvement in road maintenance.,0.9
308,SoHo,Parks,2025-03-11,Negative,Too much noise and trash!,-0.34
309,Queens Village,Sanitation,2025-03-20,Negative,Buses keep getting delayed.,-0.51
310,Harlem,Safety,2025-02-03,Negative,Water leakage not fixed for weeks.,-0.2
311,Bronx Park,Transport,2025-01-29,Positive,Feeling safer at night recently.,0.79
312,SoHo,Transport,2025-03-31,Negative,Roads full of potholes again.,-0.83
313,SoHo,Parks,2025-01-29,Neutral,Parks are okay but could be better.,0.07
314,Downtown,Safety,2025-02-01,Neutral,Mixed feelings about transport.,-0.02
315,Bronx Park,Parks,2025-01-10,Negative,Too much noise and trash!,-0.97
316,Harlem,Safety,2025-03-31,Positive,Buses are on time lately!,0.46
317,Uptown,Safety,2025-02-26,Positive,Buses are on time lately!,0.81
318,Uptown,Parks,2025-02-25,Positive,Buses are on time lately!,0.97
319,SoHo,Safety,2025-02-04,Negative,Too much noise and trash!,-0.78
320,Chinatown,Housing,2025-02-26,Negative,Too much noise and trash!,-0.8
321,Harlem,Sanitation,2025-02-14,Positive,Great improvement in road maintenance.,0.65
322,Harlem,Safety,2025-01-22,Negative,Buses keep getting delayed.,-0.35
323,Queens Village,Housing,2025-02-28,Negative,Water leakage not fixed for weeks.,-0.4
324,Chelsea,Safety,2025-01-06,Negative,Water leakage not fixed for weeks.,-0.55
325,Downtown,Housing,2025-02-25,Neutral,Mixed feelings about transport.,0.03
326,Queens Village,Parks,2025-03-31,Negative,Water leakage not fixed for weeks.,-0.81
327,Harlem,Transport,2025-03-08,Neutral,Average service overall.,-0.01
328,Midtown,Infrastructure,2025-01-15,Positive,Feeling safer at night recently.,0.4
329,Chinatown,Safety,2025-02-22,Positive,Great improvement in road maintenance.,0.91
330,Harlem,Infrastructure,2025-03-02,Neutral,Parks are okay but could be better.,-0.08
331,Downtown,Safety,2025-01-24,Neutral,Parks are okay but could be better.,0.04
332,Harlem,Parks,2025-02-17,Negative,Buses keep getting delayed.,-0.79
333,Bronx Park,Parks,2025-03-21,Positive,Buses are on time lately!,0.58
334,Bronx Park,Housing,2025-02-17,Negative,Buses keep getting delayed.,-0.76
335,Brooklyn Heights,Safety,2025-03-31,Neutral,Average service overall.,-0.04
336,Downtown,Parks,2025-03-22,Positive,Buses are on time lately!,0.41
337,SoHo,Parks,2025-03-23,Positive,Great improvement in road maintenance.,0.8
338,Chelsea,Safety,2025-03-30,Negative,Buses keep getting delayed.,-0.71
339,SoHo,Housing,2025-01-07,Neutral,Parks are okay but could be better.,0.05
340,Chelsea,Housing,2025-01-07,Positive,Great improvement in road maintenance.,0.56
341,Chelsea,Housing,2025-02-15,Positive,Buses are on time lately!,0.64
342,Chelsea,Housing,2025-03-24,Neutral,Average service overall.,0.01
343,Uptown,Transport,2025-03-27,Positive,Buses are on time lately!,0.98
344,Chelsea,Safety,2025-03-19,Negative,Buses keep getting delayed.,-0.71
345,Harlem,Transport,2025-01-24,Positive,Buses are on time lately!,0.37
346,Midtown,Parks,2025-01-02,Neutral,Average service overall.,0.08
347,Downtown,Transport,2025-01-15,Negative,Too much noise and trash!,-0.86
